1092	Utilities	UTILITIES
1097	Building Maintenance	FACILITIES
1121	AFD Firecom N	FIRE
1223	TCEMS MedCom C	TCEMS
1315	Fire Tac 3	FIRE
1471	ABIA Airside Ops	AIRPORT
1476	ABIA OPS 2	AIRPORT
1477	ABIA Maint 1	AIRPORT
1478	ABIA Security 1	AIRPORT
1586	Fire Tactical	FIRE
1888	Fire	FIRE
1899	Transportation	TRANSPORTATION
1906	TC Parks 4	TRANSPORTATION
1912	TCJ Security	LAW ENFORCEMENT
2334	County Fire Air Ops	FIRE
2404	TCSO CHARLIE	LAW ENFORCEMENT
2406	TCSO DAVID	LAW ENFORCEMENT
2421	TCSO EMER	LAW ENFORCEMENT
2422	TC CrtHse	LAW ENFORCEMENT
2432	Jail Operations 2	LAW ENFORCEMENT
2443	TCSO Jail Ops	LAW ENFORCEMENT
2450	TCSO JAIL 1	LAW ENFORCEMENT
2454	TCSO Jail 5	LAW ENFORCEMENT
2463	TCSO Jail 3	CORRECTIONS
2475	TCSO Court Ops	LAW ENFORCEMENT
2476	Fire Dispatch 3	FIRE
2551	TC CN COMM	FIRE
2989	UT Event Par	LAW ENFORCEMENT
3028	Fire Ground	FIRE
3034	UT Fire Alarm Monitor	FIRE
3076	Motor School	EDUCATION
3077	UT Campus Safety	LAW ENFORCEMENT
3078	Regional LE 8	LAW ENFORCEMENT
3079	Regional LE 4	LAW ENFORCEMENT
3080	EMS Tac 3	TCEMS
3178	Pflug PD Ch B	LAW ENFORCEMENT
3185	Pflug ISD PD Dis	LAW ENFORCEMENT
3251	TCESD 2B Pfluger	FIRE
3269	Fire Training	AFD
3400	AFD Training Ops	FIRE
3401	Fire Command	AFD
3418	Highway Patrol	LAW ENFORCEMENT
3419	Regional MedCom 2	TCEMS
3420	Regional MedCom	TCEMS
3423	LE Surveillance	Unknown
3424	Traffic Ops 2	TRANSPORTATION
3458	Westlake PD 1	LAW ENFORCEMENT
3460	Lakeway PD 1	LAW ENFORCEMENT
3461	Lakeway PD 2	LAW ENFORCEMENT
3463	Manor PD 2	LAW ENFORCEMENT
3465	Jonestown PD 2	LAW ENFORCEMENT
3469	SunsetValley PD2	LAW ENFORCEMENT
3470	Rolling PD Tac 1	LAW ENFORCEMENT
3471	Rolling PD Tac 2	LAW ENFORCEMENT
3472	Lago Vista PD 1	LAW ENFORCEMENT
3475	Austin PW 3475	UTILITIES
3476	Bee Cave PD 1	LAW ENFORCEMENT
3493	Campus Security 2	LAW ENFORCEMENT
3514	Austin PD Citywide	LAW ENFORCEMENT
3516	School District PD	Unknown
3517	Education	EDUCATION
3519	Austin PD Tac 2	LAW ENFORCEMENT
3522	DPS Austin Dispatch	DPS
3524	Transportation	TRANSPORTATION
3525	APD Tactical	LAW ENFORCEMENT
3526	DPS Capitol Detail	DPS
3527	DPS Capitol Tac	DPS
3528	Corrections	CORRECTIONS
3539	Medical Security	LAW ENFORCEMENT
3545	Transit Operations	TRANSPORTATION
3548	Training Academy	LAW ENFORCEMENT
3552	Street Ops	TRANSPORTATION
3553	Regional LE 3	LAW ENFORCEMENT
3554	APD	LAW ENFORCEMENT
3555	Surveillance Operations	LAW ENFORCEMENT
3734	Regional LE 5	LAW ENFORCEMENT
4501	EMS	TCEMS
4630	EMS	TCEMS
4646	Cedar Park Fire	FIRE
4707	Medic Transport 2	TCEMS
4708	Hospital Coord 2	TCEMS
4709	Finance Office	EDUCATION
4711	TCEMS	TCEMS
4774	MedCom Tac	TCEMS
4778	Hot Offload Ops	TCEMS
4794	TxDOT Hwy Ops	TRANSPORTATION
5291	Austin/Travis Interop 1	LAW ENFORCEMENT
5295	Staging Ops	TCEMS
5297	Towing Dispatch	TRANSPORTATION
5298	Fire	FIRE
5321	Fire Command	FIRE
5335	Gulf Coast Interop 1	LAW ENFORCEMENT
5336	Utilities	UTILITIES
5337	LCRA Operations	UTILITIES
5500	Hospital Ops	TCEMS
5802	Bastrop ISD PD	LAW ENFORCEMENT
7088	Blanco FD/EMS	FIRE
7220	Burnet F/EMS S	FIRE
7353	Fire Dispatch 2	FIRE
7400	TXDOT AusDist	TRANSPORTATION
7410	TXDOT Trav C	TRANSPORTATION
7411	TXDOT Trav N	TRANSPORTATION
7412	TXDOT Trav E	TRANSPORTATION
7420	TXDOT Caldwell	TRANSPORTATION
7447	Flight Services Security	Unknown
20141	Hospital EMS 2	TCEMS
20147	Hospital EMS 1	TCEMS
46301	Kerr SO Dispatch 1	LAW ENFORCEMENT
50559	SO Ops	LAW ENFORCEMENT
50583	Corrections	CORRECTIONS
50585	LCRA Water	UTILITIES
50587	LCRA Ops	UTILITIES
